,0,neg,neu,pos,compound
552,['Baidu results beat on strong video streaming growth shares rise  '],0.0,0.497,0.503,0.7964
553,['Takedas dengue vaccine effective overall in study but with major limitation  '],0.189,0.673,0.138,-0.1901
554,['Britains Johnson launches election campaign on opposition turf  '],0.0,1.0,0.0,0.0
555,['Some CBD products could lead to positive urine test for pot  '],0.0,0.753,0.247,0.5574
556,['Judge shields OxyContinmaker Purdue from litigation until April  '],0.184,0.816,0.0,-0.2023
557,['Men can protect themselves against penile anal cancers with HPV vaccination  '],0.0,0.809,0.191,0.3818
558,['Commentary Have Hong Kongs bloated property giants had a change of heart  '],0.0,1.0,0.0,0.0
559,['Commentary Whats next for escooters after the footpath ban  '],0.286,0.714,0.0,-0.5574
560,['US DoJ demands Ford Focus Fiesta documents Detroit Free Press  '],0.0,0.584,0.416,0.7506
561,['Commentary MNCs have gotten away with paying less taxes That must change  '],0.0,1.0,0.0,0.0
562,['Tours for people with disabilities in Jakarta put accessibility infrastructure to the test  '],0.0,1.0,0.0,0.0
563,['Football Son thankful for support over Gomes injury  '],0.184,0.395,0.421,0.5574
564,['Uber to let passengers record rides in effort to curb crime in Latin America  '],0.2,0.8,0.0,-0.5423
565,['Rampant Rodrygo powers Real to 60 win over Galatasaray  '],0.0,0.703,0.297,0.5859
566,['Qualcomms licensing forecast helped by Apple deal drives share gains  '],0.0,0.662,0.338,0.5574
567,['GoDaddy reports 12per cent rise in quarterly revenue  '],0.0,1.0,0.0,0.0
568,['Qualcomm beats quarterly revenue estimates  '],0.0,1.0,0.0,0.0
569,['Regulators want revised Boeing 737 MAX software documentation company  '],0.0,0.874,0.126,0.0772
570,['Even a little running might help you live longer  '],0.0,0.767,0.233,0.3477
571,['Fitbit reports a 12per cent fall in revenue  '],0.0,1.0,0.0,0.0
572,['Most patients with access to electronic medical records not using it  '],0.0,1.0,0.0,0.0
573,['Wall St ends near flat healthcare shares gain but trade deal delay weighs  '],0.166,0.62,0.214,-0.0387
574,['Brazil lawmakers water down Bolsonaros bill to ease gun controls  '],0.173,0.647,0.18,0.0258
575,['Baidu quarterly revenue beats estimates  '],0.0,1.0,0.0,0.0
576,['Pregnant Morgan eyes Olympic return three months after giving birth  '],0.0,0.806,0.194,0.34
577,['Football Ederson doubtful for Liverpool clash after coming off against Atalanta  '],0.179,0.821,0.0,-0.34
578,['US stocks end flat amid impatience for concrete trade progress  '],0.192,0.616,0.192,0.0
579,['US DoJ demands Ford Focus Fiesta documentsL Detroit Free Press  '],0.0,0.584,0.416,0.7506
580,['Walmart de Mexico says October samestore sales up 23per cent yearonyear  '],0.0,1.0,0.0,0.0
581,['Trump says talks on controversial Nile dam went well  '],0.151,0.672,0.176,0.0772
582,['Chinas pork imports to peak in 2022 driven by fatal swine fever consultancy  '],0.212,0.788,0.0,-0.5423
583,['Stocks end flat as trade deal concerns weigh  '],0.0,1.0,0.0,0.0
584,['Football Costas late winner sends Juve to Champions League knockouts  '],0.0,0.556,0.444,0.802
585,['Football Lewandowski helps fire Bayern into Champions League last 16  '],0.146,0.488,0.366,0.5574
586,['Blackstone CEO is optimistic US China will agree trade deal  '],0.0,0.652,0.348,0.5859
587,['ICC has info on location of Ghadaffi son other Libya fugitives Prosecutor  '],0.0,1.0,0.0,0.0
588,['Accidental hijack alarm triggers Amsterdam airport chaos  '],0.504,0.496,0.0,-0.7269
589,['Costas stoppagetime gem sends Juventus into last 16  '],0.0,1.0,0.0,0.0
590,['Exclusive USChina trade deal signing could be delayed to December London a possible venue  source '],0.119,0.881,0.0,-0.2263
591,['Prosecutors oppose testimony on false memories in Weinstein trial  '],0.0,1.0,0.0,0.0
592,['EU eyes financial stress tests over climate risks  '],0.412,0.588,0.0,-0.5994
593,['Regulators find gaps in Boeings 737 MAX software documentation sources  '],0.0,1.0,0.0,0.0
594,['California reveals Facebook probe says social media company stonewalling investigation  '],0.0,1.0,0.0,0.0
595,['Athletics  Diamond League cuts eight disciplines for 2020 season  '],0.175,0.635,0.19,0.0516
596,['Flood of trades sends Uber to record low as insiders allowed to sell  '],0.154,0.846,0.0,-0.3321
597,['US lawmakers seek to ban federal pension fund from investing in China  '],0.231,0.769,0.0,-0.5574
598,['Huawei barred in US offers app inducements in Europe  '],0.0,1.0,0.0,0.0
599,['Napoli warns it will protect rights after players walk out on retreat  '],0.089,0.633,0.278,0.4588
600,['California investigating Facebook demands subpoenaed documents  '],0.0,1.0,0.0,0.0
601,['French film icon Catherine Deneuve suffers stroke  '],0.307,0.693,0.0,-0.4767
602,['Britain wont act on European arrest warrant for Catalan separatist  '],0.194,0.806,0.0,-0.34
603,['Football Japanese star Honda joins Dutch side Vitesse Arnhem  '],0.0,1.0,0.0,0.0
604,['Former UAW official GM board member charged in UAW investigation  '],0.153,0.847,0.0,-0.2023
605,['Phillips 66 completely transparent in project financing CEO  '],0.0,1.0,0.0,0.0
606,['Tiffany asks LVMH to raise its US145 billion offer sources  '],0.0,1.0,0.0,0.0
607,['Trumps conscience rule for healthcare workers struck down by US judge  '],0.154,0.846,0.0,-0.25
608,['Football Arsenal stumble again at Vitoria Guimaraes  '],0.0,1.0,0.0,0.0
609,['Four tourists among eight wounded in Jordan stabbing  '],0.0,1.0,0.0,0.0
610,['Football Infantino planning Iran visit for game with female fans  '],0.0,1.0,0.0,0.0
611,['Cricket Hope Chase power Windies to ODI win in smoghit Lucknow  '],0.0,0.599,0.401,0.7717
612,['Airbnb to review high risk reservations following Halloween shooting  '],0.189,0.811,0.0,-0.2732
613,['Rugby World Cup winner Kolbe nominated for Top 14 award  '],0.0,0.468,0.532,0.8442
614,['Canada PM cites positive momentum on USMCA deal as top US official visits  '],0.0,0.69,0.31,0.6597
615,['CocaCola chooses plastic bottle collection over aluminum cans to cut carbon footprint  '],0.149,0.851,0.0,-0.2732
616,['Exclusive USChina trade deal signing could be delayed until December  US source  '],0.137,0.863,0.0,-0.2263
617,['European stock markets close higher  '],0.0,1.0,0.0,0.0
618,['New Islamic State chief a nobody US official  '],0.0,1.0,0.0,0.0
619,['Wall Street slips following report trade deal could be delayed  '],0.16,0.84,0.0,-0.2263
620,['Saracens unfairly won titles in 2018 and 2019  Exeter coach Baxter  '],0.0,0.748,0.252,0.5719
621,['Amazons rising air shipments fly in the face of climate plan  '],0.0,1.0,0.0,0.0
622,['Escooter riders gather to voice frustration over ban at MeetthePeople session in Ang Mo Kio '],0.324,0.676,0.0,-0.7717
623,['Beast Mtawarira retires after beauty of a World Cup win for South Africa  '],0.0,0.591,0.409,0.8225
624,['Football Ancelotti under fire as players rebel against training lockdown  '],0.308,0.692,0.0,-0.4588
625,['Exclusive USChina trade deal signing could be delayed until December US source  '],0.137,0.863,0.0,-0.2263
626,['Boeing CEO will forgo tens of millions of dollars in compensation  '],0.0,1.0,0.0,0.0
627,['Explainer Central bank digital currencies  edging toward reality  '],0.0,1.0,0.0,0.0
628,['Brazil oil auction raises disappointing US17 billion Official  '],0.286,0.714,0.0,-0.4939
629,['Explainer Central bank digital currencies edging towards reality  '],0.0,1.0,0.0,0.0
630,['Second man pleads guilty to attempted robbery of Arsenal stars  '],0.219,0.781,0.0,-0.4215
631,['US sets sights on shipping companies for sanctions evasions  '],0.0,1.0,0.0,0.0
632,['Chinese experts to help in NotreDame reconstruction  '],0.0,0.722,0.278,0.4019
633,['Football Liverpool fan to return to Anfield for first time after savage attack  '],0.314,0.567,0.119,-0.5859
634,['New footage of Arsenals Sead Kolasinac fighting off an armed robber as he and teammate Mesut Ozil are attacked in '],0.336,0.664,0.0,-0.8442
635,['Wall Street rally loses steam after record run  '],0.223,0.777,0.0,-0.3182
636,['Bank of America Raymond James to pay US12 million for college fund overcharges  '],0.097,0.903,0.0,-0.1027
637,['German coalition parties vow to stay together but have a lot to do  '],0.0,0.866,0.134,0.2144
638,['Pokemon Go maker Niantic making a game of the world  '],0.0,1.0,0.0,0.0
639,['LSE investors to vote on Refinitiv deal on November 26  '],0.0,1.0,0.0,0.0
640,['Indian worker who died in Novena crane accident was familys sole breadwinner  '],0.379,0.621,0.0,-0.7717
641,['Football After stunning Inter Dortmund turn sights on Bayern  '],0.0,0.776,0.224,0.3818
642,['EU urges faster Greece vetting of migrants as arrivals soar  '],0.0,1.0,0.0,0.0
643,['Apple rolls out health records on iPhones for US military veterans  '],0.0,1.0,0.0,0.0
644,['Bank of America Raymond James to pay US12 million restitution for fund overcharges  '],0.097,0.903,0.0,-0.1027
645,['Uber shares fall to record low as stock lockup expires  '],0.158,0.677,0.165,0.0258
646,['SampP 500 Dow open higher after robust earnings run  '],0.0,0.789,0.211,0.34
647,['Singapore accepts invitation to G20 Summit in Saudi Arabia  '],0.0,0.796,0.204,0.3182
648,['In boost to climate policy EU makes first move to end fossil fuel funding  '],0.0,0.838,0.162,0.4019
649,['Football Barca need fixing fast as patience with Valverde wears thin  '],0.0,1.0,0.0,0.0
650,['Cricket Indias Pant currently a onetrick pony says Jones  '],0.0,1.0,0.0,0.0
651,['Apple rolls out health records on iPhones for US military veterans  '],0.0,1.0,0.0,0.0
652,['Cyprus plans to strip citizenships after uproar over passports  '],0.0,1.0,0.0,0.0
653,['Wall Street eyes higher open after robust earnings run  '],0.0,0.789,0.211,0.34
654,['ExGoldman banker in 1MDB case to face Malaysia trial next year  '],0.0,1.0,0.0,0.0
655,['SilkAir hurt by grounding of 737 MAX planes even as SIA Group posts higher profit  '],0.167,0.69,0.143,-0.128
656,['Indias Pant currently a onetrick pony says Jones  '],0.0,1.0,0.0,0.0
657,['Ridehailing market revs up in Egypt  '],0.0,1.0,0.0,0.0
658,['Lufthansa scraps 1300 flights over twoday German strike  '],0.158,0.842,0.0,-0.128
659,['CVS tops profit estimates on Aetna strength  '],0.0,0.347,0.653,0.8555
660,['Football Furious Inter coach Conte lambasts club over poor planning  '],0.43,0.57,0.0,-0.7783
661,['Cyclist Mantle set to zoom past million mile barrier  '],0.143,0.857,0.0,-0.128
662,['Facebook executives planned switcharoo on data policy change court filings  '],0.0,1.0,0.0,0.0
663,['In swipe at Russia US says countries cant be allowed to steal Olympic medals  '],0.186,0.814,0.0,-0.4939
664,['Mercedes explain why Hamilton struggled in US qualifying  '],0.231,0.769,0.0,-0.34
665,['Wall Street near highs after upbeat earnings run  '],0.0,1.0,0.0,0.0
666,['Four tourists among 6 wounded in Jordan stabbing Security official  '],0.0,0.789,0.211,0.34
667,['Malaysia mulling tighter policy to prevent country from becoming transit hub for terrorists Muhyiddin '],0.225,0.714,0.06,-0.6124
668,['HIVpositive man gets jail and fine for lying about sex history in blood donation form  '],0.177,0.729,0.094,-0.3818
669,['Privacy protection essential to shield human rights says Microsofts Smith  '],0.0,1.0,0.0,0.0
670,['Boeing still hopes 737 MAX will fly again this year  '],0.0,0.781,0.219,0.4215
671,['Facebook executives planned switcharoo on data policy change  court filings  '],0.0,1.0,0.0,0.0
672,['Keystone pipeline spill hardens landowner opposition to proposed expansion  '],0.0,1.0,0.0,0.0
673,['Macron says he told Xi dialogue needed on Hong Kong  '],0.0,1.0,0.0,0.0
674,['Critics slam revamped Didi Chuxing carpool service  '],0.271,0.729,0.0,-0.3818
675,['China regulator warns ecommerce platforms to stop monopolistic practices  '],0.31,0.69,0.0,-0.3818
676,['More impeachment testimony transcripts coming as Trump aides likely noshows  '],0.0,1.0,0.0,0.0
677,['Investors left exposed as Trumps SEC gives America Inc a helping hand  '],0.083,0.573,0.344,0.6249
678,['McMenemy ousted in Indonesia after four straight defeats  '],0.205,0.625,0.17,-0.1027
679,['EPCR disappointed with Saracens noshow at Champions Cup launch  '],0.214,0.552,0.234,0.0772
680,['Ongoing trade conflict an opportunity for China Chan Chun Sing  '],0.163,0.638,0.199,0.128
681,['Malaysian police say 1MDB fugitive Low seeking to buy Cyprus properties  '],0.16,0.84,0.0,-0.2732
682,['Riyadh has open channel with Yemen rebels Saudi official  '],0.167,0.833,0.0,-0.2023
683,['PMD retailers worried about impact of footpath ban that came without warning  '],0.325,0.561,0.114,-0.5809
684,['VIDEO Scene of search operations for 3 divers including a Singaporean who went missing off Indonesias Java isla '],0.121,0.879,0.0,-0.296
685,['Dengue cases soar to record high in Pakistan  '],0.0,1.0,0.0,0.0
686,['Huawei founder says not yet talking directly with US firms to licence 5G  '],0.0,1.0,0.0,0.0
687,['Businessman and former cop get jail over bribes to have man wrongfully arrested  '],0.193,0.807,0.0,-0.4767
688,['Head of UN Palestinian agency steps aside amid probe  '],0.0,1.0,0.0,0.0
689,['Ireland to impose latte levy by 2021 to cut plastic waste  '],0.441,0.559,0.0,-0.7269
690,['SilkAir hurt by grounding of 737 Max planes even as SIA Group posts higher profit  '],0.167,0.69,0.143,-0.128
691,['Thai PM says Cambodian opposition leader Rainsy not allowed to transit  '],0.0,1.0,0.0,0.0
692,['Iran starts injecting uranium gas into centrifuges at Fordow  '],0.0,1.0,0.0,0.0
693,['Missing divers including Singaporean did not consult local guides on sea conditions Indonesian rescue official '],0.0,0.82,0.18,0.5106
694,['Ill pay if claims of RM300000 in unpaid bills are true Malaysian minister Azmin Ali  '],0.077,0.769,0.154,0.34
695,['Womens boxing icon Adams retires due to medical advice  '],0.0,1.0,0.0,0.0
696,['Put down that phone Indonesians invent device to aid internetaddicted  '],0.0,1.0,0.0,0.0
697,['BMWs stronger SUV sales help new CEO deliver profit lift  '],0.0,0.494,0.506,0.802
698,['Hundreds skip school in Lebanon to press for change  '],0.0,1.0,0.0,0.0
699,['China mobile payment giants Alipay WeChat open to international cards  '],0.0,1.0,0.0,0.0
700,['Safer animal crossings with new Mandai Wildlife Bridge  '],0.0,1.0,0.0,0.0
701,['SoftBanks Son humbled after Vision Funds US89 billion loss  '],0.187,0.65,0.163,-0.0772
702,['Iraq PM sees power clipped by rivals amid proIran pressure Sources  '],0.167,0.833,0.0,-0.296
703,['Vietnam mulls legal action over South China Sea dispute  '],0.221,0.656,0.123,-0.296
704,['Beyond vegan burgers Nextgeneration protein could come from air methane volcanic springs  '],0.0,1.0,0.0,0.0
705,['Safer animal crossings with new Mandai Wildlife Bridge  '],0.0,1.0,0.0,0.0
706,['Risk rally hits pause button as markets await trade signals  '],0.0,0.877,0.123,0.1027
707,['Johnson begins election battle vowing Brexit and casting rival as Stalin  '],0.191,0.809,0.0,-0.3818
708,['DFS offers retrenched employees better severance deal following talks with union  '],0.0,0.791,0.209,0.4404
709,['Tennis France out to spoil Australian Fed Cup party  '],0.0,0.769,0.231,0.4019
710,['Mitsubishi Corp to shut Singapore oiltrading unit after unauthorised losses  '],0.213,0.787,0.0,-0.4019
711,['Bombardier says to deliver all Swiss Railways trains by mid2021  '],0.0,1.0,0.0,0.0
712,['17 people killed in Tajikistan clash blamed on Islamic State militants  '],0.432,0.568,0.0,-0.8225
713,['Significant number of police sent to Spains Catalonia ahead of election PM  '],0.0,0.902,0.098,0.0772
714,['Johnson begins election battle vowing Brexit and casting rival as Stalin  '],0.191,0.809,0.0,-0.3818
715,['India deploys security social media monitors ahead of divisive temple verdict  '],0.0,0.714,0.286,0.4588
716,['Lost pup in Australia turns out to be a rare purebred dingo  '],0.0,1.0,0.0,0.0
717,['Boxing Double Olympic champion Adams retires over sight fears  '],0.19,0.544,0.265,0.2732
718,['Cyclist who flipped off US president wins local election  '],0.0,0.709,0.291,0.5719
719,['Dying for a better life South Koreans fake their funerals for life lessons  '],0.306,0.538,0.156,-0.4215
720,['Football Iraq told to play this months World Cup qualifiers at neutral venue  '],0.0,0.844,0.156,0.34
721,['Iraqi security forces use live fire to disperse Baghdad protesters  '],0.293,0.544,0.163,-0.2263
722,['Xi Macron unite on climate after US withdraws from Paris pact  '],0.0,1.0,0.0,0.0
723,['Schools in Indian capital reopen air quality still unhealthy  '],0.274,0.726,0.0,-0.5267
724,['Badminton Lin Dans Open exit new blow to fading Olympic hopes  '],0.0,0.797,0.203,0.4215
725,['Double Olympic champion Adams retires over sight fears  '],0.204,0.511,0.285,0.2732
726,['Olympique Lyonnais shares rise after Benfica Champions League win  '],0.0,0.427,0.573,0.8555
727,['COE prices close mostly lower in latest bidding exercise  '],0.196,0.804,0.0,-0.296
728,['SoftBanks secondquarter whiplashed by US89 billion loss in Vision Fund  '],0.173,0.677,0.15,-0.0772
729,['Investors left exposed as Trumps SEC gives America Inc helping hand  '],0.083,0.573,0.344,0.6249
730,['China urges reelected Canadian government to free Huawei executive Meng Wanzhou  '],0.0,0.769,0.231,0.5106
731,['Basketball LeBron sparks Lakers in NBA comeback triumph at Chicago  '],0.0,0.763,0.237,0.4767
732,['Kpop acts SuperM and BoA star in Korean Airs new safety video  '],0.0,0.811,0.189,0.4215
733,['JUST IN COE prices for smaller cars fall the most in latest bidding exercise  '],0.0,1.0,0.0,0.0
734,['Tesla plans aftersales network expansion in China as Shanghai factory spins up  '],0.0,1.0,0.0,0.0
735,['Doctor who says he cant recall assaulting ex lying to fabricate a psychiatric defence Prosecution '],0.304,0.507,0.189,-0.542
736,['Xerox considers takeover offer for PC maker HP WSJ  '],0.0,1.0,0.0,0.0
737,['Cause of Philadelphia fire sounds alarm over ageing US refineries  '],0.348,0.652,0.0,-0.5859
738,['SDPs John Tan remains disqualified from contesting elections after High Court dismisses application '],0.177,0.823,0.0,-0.4215
739,['Stocks fall as traders question next move in trade war  '],0.281,0.719,0.0,-0.5994
740,['More than 150 rescuers deployed in search for Singaporean diver missing off Indonesias Java island '],0.128,0.872,0.0,-0.296
741,['Philippines vice president accepts Dutertes offer of drugs war post  '],0.257,0.592,0.151,-0.3818
742,['Hong Kong watchdog to set new crypto exchange regulations  '],0.0,1.0,0.0,0.0
743,['SoftBank Group plunges to US65 billion quarterly loss as tech bets stumble  '],0.161,0.839,0.0,-0.3182
744,['Cricket Excricket chief on panel to review Wallabies World Cup flop  '],0.179,0.821,0.0,-0.34
745,['Man fined S72000 for evading GST on mobile phone spare parts  '],0.0,1.0,0.0,0.0
746,['NZs Williams set for record code switch with Toronto reports  '],0.0,1.0,0.0,0.0
747,['Freescoring OxladeChamberlain keen to keep improving for Liverpool  '],0.0,0.569,0.431,0.6486
748,['Nigerian sex slavery ring goes on trial in France  '],0.348,0.652,0.0,-0.7003
749,['Ghost fishing gear The rubbish haunting ocean wildlife  '],0.208,0.792,0.0,-0.2732
750,['Cambodian opposition leader Rainsy says he will return on Saturday  '],0.0,1.0,0.0,0.0
751,['Malaysian who killed cat in dryer faces jail in new laws first conviction  '],0.257,0.743,0.0,-0.6705
752,['Volvo Cars to trace battery cobalt using blockchain technology  '],0.0,1.0,0.0,0.0
753,['China supports more aggressive measures to tame Hong Kong unrest Vice Premier Han Zheng  '],0.109,0.747,0.144,0.1548
754,['IBM Bank of America team up to launch financial servicesspecific cloud  '],0.0,1.0,0.0,0.0
755,['US man stabbed to death after fight over Popeyes chicken sandwich  '],0.511,0.489,0.0,-0.8555
756,['Chinas digital currency will kick off horse race  central bank official  '],0.0,1.0,0.0,0.0
757,['Oil falls as big US crude build offsets hopes for USChina trade talks  '],0.2,0.649,0.151,-0.2263
758,['Which wine is light enough to let you rest well during a longhaul flight  '],0.0,0.861,0.139,0.2732
759,['From crises to conquest How Gushclouds founders turned their business around  '],0.0,1.0,0.0,0.0
760,['Xerox considers takeover offer for PC maker HP  WSJ  '],0.0,1.0,0.0,0.0
761,['Up to S5000 fine for PMD users who ride on grass NParks  '],0.0,0.87,0.13,0.2023
762,['Top US diplomat says MoonAbe meeting is encouraging sign for countries relations  '],0.0,0.779,0.221,0.5267
763,['Elderly taxi driver taken to hospital after accident along Robinson Road  '],0.22,0.78,0.0,-0.4767
764,['Expert advice Is your trusty herbal syrup really going to stop your cough  '],0.139,0.679,0.181,0.1868
765,['Ladies here are the best skincare products to remove those pesky age or sun spots  '],0.108,0.686,0.206,0.4588
766,['Acne breakouts or skin flares These roadtested facials could be your salve  '],0.0,1.0,0.0,0.0
767,['Keanu Reeves sparks girlfriend rumours after holding hands with artist at LA event  '],0.0,1.0,0.0,0.0
768,['Knifewielding man attacks Hong Kong proBeijing lawmaker  '],0.293,0.707,0.0,-0.4404
769,['Britains AstraZeneca to distribute Sun Pharma cancer drugs in China  '],0.306,0.694,0.0,-0.6597
770,['New Zealand identify 26 homegrown candidates to replace Hansen  '],0.0,1.0,0.0,0.0
771,['Chinas Didi says to relaunch Hitch service in November  '],0.0,1.0,0.0,0.0
772,['Singaporean diver among 3 people missing in Indonesian waters  '],0.216,0.784,0.0,-0.296
773,['Rugby Australia appoints panel to review 2019 season  '],0.0,1.0,0.0,0.0
774,['Philippine army says it thwarted a suicide bombing in town in restive south  '],0.337,0.663,0.0,-0.6808
775,['Restricting flavored tobacco could curb youth use  '],0.0,1.0,0.0,0.0
776,['Tinderowner Match forecast hit by rising competition shares down  '],0.0,0.804,0.196,0.296
777,['Chelsea and nineman Ajax share spoils in thrilling 44 draw  '],0.0,0.629,0.371,0.6486
778,['Erratic Napoli held by Salzburg as Haaland strikes again  '],0.217,0.783,0.0,-0.3612
779,['Top Trump ally admits tying Ukraine aid to Biden investigation  '],0.0,0.82,0.18,0.296
780,['China says will fully respect Taiwans way of life  '],0.0,0.726,0.274,0.5256
781,['Liverpools Klopp unsure how he will approach two games in 24 hours  '],0.143,0.857,0.0,-0.25
782,['Officials say at least 15 killed in attack in Thailands restive south  '],0.409,0.591,0.0,-0.8225
783,['USChina trade war hurting both countries UN  '],0.524,0.476,0.0,-0.765
784,['Virgin Australia to cut domestic capacity by 2 axe a Hong Kong route  '],0.259,0.741,0.0,-0.3612
785,['Effort in US Congress to rein in China on Hong Kong protests faces obstacles  '],0.257,0.743,0.0,-0.5423
786,['Oil slips on huge US crude build hopes for USChina trade talks check losses  '],0.284,0.489,0.227,-0.3182
787,['US Justice Dept sets up antiprice collusion strike force  '],0.116,0.62,0.264,0.4404
788,['More music options YouTube Music now available in Singapore  '],0.0,1.0,0.0,0.0
789,['Asian markets tread water as investors await clues on trade  '],0.0,0.877,0.123,0.1027
790,['Brazil unveils reform package to tackle huge fiscal deficit  '],0.208,0.615,0.177,-0.1027
791,['Singapore imports 17 million bottles of water from Malaysia monthly Masagos  '],0.0,1.0,0.0,0.0
792,['Football Copa Libertadores final moved to Peru due to Chile unrest  '],0.0,1.0,0.0,0.0
793,['In review of fatal Arizona crash US agency says Uber software had flaws  '],0.341,0.659,0.0,-0.7351
794,['Iowa Greece Where Trump and Xi may meet becomes new trade deal issue  '],0.0,1.0,0.0,0.0
795,['Virgin Australia to cut domestic capacity by 2per cent axe a Hong Kong route  '],0.226,0.774,0.0,-0.3612
796,['An extra 15minute daily walk could boost global economy Study  '],0.0,0.787,0.213,0.4019
797,['Australias women and men footballers to get equal pay  '],0.135,0.865,0.0,-0.1027
798,['Commentary McDonalds and the perils of wooing at work  '],0.0,1.0,0.0,0.0
799,['Mallinckrodt receives SEC subpoena over Acthar gel lawsuit  '],0.192,0.808,0.0,-0.2263
800,['Britains AstraZeneca launches US1 billion China investment fund with CICC  '],0.0,1.0,0.0,0.0
801,['Top militant leader killed in the Sahel France  '],0.36,0.64,0.0,-0.6705
802,['Copa Libertadores final moved to Peru due to Chile unrest  '],0.0,1.0,0.0,0.0
803,['Tinderowner Match forecast hit by rising competition shares down  '],0.0,0.804,0.196,0.296
804,['Football Hakimi double seals stunning Dortmund win over Inter Milan  '],0.0,0.584,0.416,0.7506
805,['Football Xhaka stripped of Arsenal captaincy following angry reaction at getting booed by fans '],0.191,0.809,0.0,-0.5106
806,['TikTok stresses its independence from China but US lawmakers are unconvinced  '],0.351,0.649,0.0,-0.6597
807,['Football Salzburg make Napoli wait for Champions League last 16 spot  '],0.0,0.764,0.236,0.5267
808,['Copa Libertadores final moved to Lima from Santiago  '],0.0,1.0,0.0,0.0
809,['Chelsea battle to 44 draw with nineman Ajax in thriller  '],0.2,0.692,0.108,-0.296
810,['Football Chelsea fightback salvages 44 draw against nineman Ajax  '],0.0,1.0,0.0,0.0
811,['Valencia roar back in second half to thrash Lille  '],0.0,1.0,0.0,0.0
812,['Commentary Rugby World Cup  Japan leads the line for Asia  '],0.0,1.0,0.0,0.0
813,['Commentary China doesnt need global trade to keep growing  '],0.0,0.841,0.159,0.1779
814,['Australia to press Facebook for details on Libra cryptocurrency  newspaper  '],0.0,1.0,0.0,0.0
815,['OxladeChamberlain strike gives Liverpool win over Genk  '],0.133,0.531,0.336,0.5106
816,['Hakimi shines as Dortmund fight back to beat Inter  '],0.224,0.776,0.0,-0.3818
817,['TrumpXi meeting in Iowa would be poignant reminder of better USChina ties  '],0.0,0.805,0.195,0.4404
818,['Wholemeal or multigrain The truth about healthier breads  '],0.0,0.777,0.223,0.3182
819,['Football OxladeChamberlain puts Liverpool on brink of Champions League knockouts  '],0.0,0.746,0.254,0.5267
820,['Lyon beat Benfica to revive last16 chances  '],0.0,0.588,0.412,0.4939
821,['Facebook will widen access to encryption feature test safety measures  '],0.0,0.781,0.219,0.4215
822,['UPS drone makes first home prescription deliveries for CVS Health Corp  '],0.0,1.0,0.0,0.0
823,['Football FA overturn Sons red card for tackle on Evertons Gomes  '],0.0,1.0,0.0,0.0
824,['Camp Nou turns on toothless Barca after draw with Slavia  '],0.194,0.806,0.0,-0.34
825,['Tinder helps Match swipe right on revenue user adds  '],0.0,0.776,0.224,0.3818
826,['SampP 500 ends down slightly after recent records  '],0.0,1.0,0.0,0.0
827,['Brazils Vale failed to report dam defects that could have avoided tragedy Official  '],0.561,0.439,0.0,-0.9153
828,['Chronic stress linked to high blood pressure risk for African Americans  '],0.441,0.559,0.0,-0.7269
829,['Football Xhaka stripped of Arsenal captaincy and dropped for Vitoria game  '],0.0,1.0,0.0,0.0
830,['China to resume Canadian beef pork imports Trudeau  '],0.0,1.0,0.0,0.0
831,['Match forecasts fourthquarter revenue below estimates shares fall  '],0.0,0.784,0.216,0.296
832,['Dow edges to another record on trade optimism  '],0.0,0.696,0.304,0.5423
833,['RB Leipzig untroubled by Zenit in comfortable win  '],0.0,0.496,0.504,0.7964
834,['Effort in US Congress to rein in China on Hong Kong protests faces obstacles  '],0.257,0.743,0.0,-0.5423
835,['Football Balotelli blames handful of idiots for Verona monkey chants  '],0.213,0.787,0.0,-0.4019
836,['UPS drone makes first home prescription deliveries for CVS  '],0.0,1.0,0.0,0.0
837,['Xhaka stripped of Arsenal captaincy and dropped for Vitoria game  '],0.0,1.0,0.0,0.0
838,['Toothless Barca draw blank at home to Slavia  '],0.0,1.0,0.0,0.0
839,['Football Barcelona stumble to home draw against Slavia  '],0.0,1.0,0.0,0.0
840,['US navy prepares allies to protect navigation in Gulf  '],0.0,0.776,0.224,0.3818
841,['US telecom regulator approves TMobile and Sprint merger  '],0.0,0.748,0.252,0.4019
842,['Italian World Cup winner Grosso to coach struggling Brescia  '],0.192,0.548,0.26,0.25
843,['Football Guardiola expecting tougher Atalanta at San Siro  '],0.0,0.825,0.175,0.1779
844,['Uber test vehicles involved in 37 crashes before fatal selfdriving incident  '],0.241,0.759,0.0,-0.5423
845,['Football Leipzig close on Champions League last 16 with win at Zenit  '],0.0,0.604,0.396,0.802
846,['WeWork still on life support rivals say it must cut costs fast  '],0.133,0.696,0.171,0.1531
847,['China to lift ban on Canadian beef pork  '],0.31,0.69,0.0,-0.5574
848,['Shale CEO calls out industry for Permian Basin gas flaring  '],0.0,1.0,0.0,0.0
849,['Spain reissues international arrest warrants for Catalan separatists  '],0.231,0.769,0.0,-0.34
850,['Scientists urge stronger Paris Agreement pledges to curb climate change  '],0.0,0.608,0.392,0.7003
851,['ATampT to pay US60 million in settlement for slowing cellphone data on unlimited plans  '],0.091,0.909,0.0,-0.1027
852,['From cat videos to credit cards Amazon says customers have to secure own data  '],0.0,0.642,0.358,0.6908
853,['Wall Street increasingly weighs risk from climate change  '],0.208,0.792,0.0,-0.2732
